architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexicity_density,unique_ngram_count
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,__umodti3,101636,ECC,69,106,39,11,8,0.103773585,3.782608696,4,66,41,65,11,0,261,0.374047788,0.105878815,146,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,6,0,0,113,68,115,0.013636364,6.262739829,3.079228368,0.149425287,151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_00100680,100680,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.855388542,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_00100690,100690,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.854067142,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.688721876,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_001006a0,001006a0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.855388542,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_001006b0,001006b0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.688721876,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_001006c0,001006c0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.855388542,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_001006d0,001006d0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.688721876,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,_start,1.01E+03,Non-Crypto,1,3,4,1,1,0.333333333,12,0,3,0,3,1,0,12,1.862985834,0.086956522,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,4,0.086956522,4.616874606,1.910269941,0.333333333,11
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,_PREINIT_0,100702,Non-Crypto,1,0,1,0,0,0,3,1,1,0,0,0,0,3,1.303515793,0.2,2,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,1,1,2,0,3.121928095,1.921928095,0.333333333,2
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,deregister_tm_clones,0010070e,Non-Crypto,4,5,3,0,0,0,2.5,1,5,2,3,0,0,10,1.034242869,0.085714286,2,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,2,0,0,3,3,6,0.052631579,4.215360357,2.259799223,0.3,8
