function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
FUN_00016490,00016490,mips,gcc,O2,1,1,0,0,12,20,10,5,5,0.25,5.666666666666667,2,8,68,1.085145554407903,0.05374453490125133,148,8,0.2149122807017544,0.07456140350877193,0.17982456140350878,0.0,0.0,0.0043859649122807015,0,0,56,18,20,50,0.17982456140350878,5.115127322521012,2.219242980005567,0.14705882352941177,34,unknown,8,12,5,0.6,unknown,1,unknown
mbedtls_ssl_cache_init,000165a0,mips,gcc,O2,1,1,0,0,1,1,2,0,0,0.0,25.0,1,2,25,1.6389153572658044,0.1267605633802817,48,0,0.2535211267605634,0.09859154929577464,0.15492957746478872,0.0,0.0,0.028169014084507043,0,0,32,9,13,18,0.15492957746478872,4.8905320409014434,2.1582265709734454,0.08,19,unknown,0,1,0,0.0,unknown,1,unknown
mbedtls_ssl_cache_get,00016604,mips,gcc,O2,1,1,0,0,5,7,4,1,1,0.14285714285714285,13.6,3,7,68,1.377941438095161,0.13913941171828945,152,2,0.2169811320754717,0.12735849056603774,0.16981132075471697,0.0,0.0,0.0047169811320754715,0,0,64,28,30,46,0.16981132075471697,5.162228845283608,2.3020167713308077,0.058823529411764705,35,unknown,2,5,1,1.8571428571428572,unknown,1,unknown
mbedtls_ssl_cache_set,00016714,mips,gcc,O2,1,1,0,0,44,77,35,14,13,0.18181818181818182,5.2272727272727275,2,41,230,0.9380915646035196,0.1553008191747038,562,33,0.17092866756393002,0.11843876177658143,0.15208613728129206,0.0,0.0,0.0013458950201884253,0,0,80,89,91,128,0.15208613728129206,5.444110259905782,2.277024466313182,0.15217391304347827,87,unknown,24,53,14,0.6363636363636364,unknown,1,unknown
mbedtls_ssl_cache_remove,00016aac,mips,gcc,O2,1,1,0,0,18,29,13,6,6,0.20689655172413793,4.333333333333333,2,20,78,0.9700363503990973,0.12389054829585386,186,11,0.19157088122605365,0.11494252873563218,0.16091954022988506,0.0,0.0,0.0038314176245210726,0,0,56,31,33,50,0.16091954022988506,5.223539513458431,2.320681157630674,0.16666666666666666,49,unknown,8,21,6,0.5862068965517241,unknown,1,unknown
mbedtls_ssl_cache_set_timeout,00016be4,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,4.0,2,1,4,0.9060809298966896,0.10526315789473684,16,0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0,0,16,2,2,2,0.10526315789473684,3.1493974703476995,1.929309207916729,0.25,3,unknown,0,0,0,0.0,unknown,1,unknown
mbedtls_ssl_cache_set_max_entries,00016bf4,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,4.0,2,1,4,0.9060809298966896,0.10526315789473684,16,0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0,0,16,2,2,2,0.10526315789473684,3.0243974703476995,1.929309207916729,0.25,3,unknown,0,0,0,0.0,unknown,1,unknown
mbedtls_ssl_cache_free,00016c04,mips,gcc,O2,1,1,0,0,5,10,7,1,1,0.1,8.2,2,6,41,1.3714529019711108,0.10713111539010127,112,5,0.20512820512820512,0.10897435897435898,0.16025641025641027,0.0,0.0,0.00641025641025641,0,0,40,18,20,32,0.16025641025641027,5.066693164981753,2.1803469989987687,0.17073170731707318,28,unknown,3,7,1,1.1,unknown,1,unknown
mbedtls_ssl_ciphersuite_from_string,00016ca8,mips,gcc,O2,1,1,0,0,6,8,4,1,1,0.125,5.833333333333333,2,6,35,1.3630188739026423,0.1260261343594677,72,2,0.25,0.10714285714285714,0.15178571428571427,0.0,0.0,0.008928571428571428,4,0,40,13,15,28,0.15178571428571427,4.712514973147285,2.373745174746176,0.11428571428571428,23,unknown,3,5,1,0.5,unknown,1,unknown
mbedtls_ssl_ciphersuite_from_id,00016d34,mips,gcc,O2,1,1,0,0,5,5,2,1,1,0.2,3.2,2,4,16,0.9708648269306961,0.18484848484848485,26,0,0.22857142857142856,0.17142857142857143,0.05714285714285714,0.0,0.0,0.02857142857142857,2,0,16,7,9,8,0.05714285714285714,4.278467726488667,2.611976835921132,0.125,14,unknown,2,3,1,0.0,unknown,1,unknown
mbedtls_ssl_list_ciphersuites,00016d74,mips,gcc,O2,1,1,0,0,9,13,6,2,2,0.15384615384615385,5.444444444444445,1,7,49,1.272449307727089,0.020352332852332854,92,4,0.2727272727272727,0.027972027972027972,0.18181818181818182,0.0,0.0,0.006993006993006993,0,0,48,5,7,39,0.18181818181818182,5.233743883472083,2.1649064461339194,0.12244897959183673,32,unknown,4,9,2,0.0,unknown,1,unknown
mbedtls_ssl_get_ciphersuite_name,00016e38,mips,gcc,O2,1,1,0,0,3,3,2,1,1,0.3333333333333333,6.666666666666667,2,4,20,1.4904265058146047,0.09278711484593838,32,0,0.2786885245901639,0.06557377049180328,0.14754098360655737,0.0,0.0,0.01639344262295082,0,0,32,5,7,17,0.14754098360655737,4.426605172528944,2.2692654453116177,0.1,17,unknown,1,2,1,0.0,unknown,1,unknown
mbedtls_ssl_get_ciphersuite_id,00016e88,mips,gcc,O2,1,1,0,0,3,3,2,1,1,0.3333333333333333,5.666666666666667,3,4,17,1.1822848130687014,0.17857142857142858,32,0,0.2653061224489796,0.10204081632653061,0.12244897959183673,0.0,0.0,0.02040816326530612,0,0,32,6,8,13,0.12244897959183673,4.1865612851904395,2.460744982205383,0.11764705882352941,15,unknown,1,2,1,0.0,unknown,1,unknown
mbedtls_ssl_ciphersuite_get_cipher_key_bitlen,00016ecc,mips,gcc,O2,1,1,0,0,3,3,2,0,0,0.0,6.333333333333333,3,4,19,1.2917143077929136,0.2296050203026947,40,0,0.22727272727272727,0.12121212121212122,0.12121212121212122,0.0,0.0,0.030303030303030304,0,0,32,10,14,15,0.12121212121212122,4.669872784602835,2.3327072063112793,0.10526315789473684,17,unknown,1,2,0,0.6666666666666666,unknown,1,unknown
mbedtls_ssl_get_ciphersuite_sig_pk_alg,00016f18,mips,gcc,O2,1,1,0,0,7,6,1,0,0,0.0,2.857142857142857,4,7,20,0.8444754364864807,0.19415584415584416,54,0,0.03333333333333333,0.15,0.016666666666666666,0.016666666666666666,0.0,0.06666666666666667,0,0,16,13,22,2,0.016666666666666666,3.9962301884861775,1.9151462284346084,0.05,16,unknown,3,3,0,0.0,unknown,1,unknown
mbedtls_ssl_get_ciphersuite_sig_alg,00016f68,mips,gcc,O2,1,1,0,0,3,2,1,0,0,0.0,3.6666666666666665,2,3,11,0.9953972686260121,0.38181818181818183,28,0,0.03333333333333333,0.23333333333333334,0.03333333333333333,0.1,0.0,0.06666666666666667,0,0,16,9,16,1,0.03333333333333333,3.6399348820243445,2.2150610122030696,0.09090909090909091,9,unknown,1,1,0,0.0,unknown,1,unknown
mbedtls_ssl_ciphersuite_uses_ec,00016f94,mips,gcc,O2,1,1,0,0,3,2,1,0,0,0.0,3.3333333333333335,2,3,10,1.2146991721447353,0.26060606060606056,24,0,0.06666666666666667,0.2,0.03333333333333333,0.06666666666666667,0.0,0.0,0,0,16,6,8,2,0.03333333333333333,3.6586949695628412,1.9382689280764647,0.1,9,unknown,1,1,0,0.0,unknown,1,unknown
mbedtls_ssl_ciphersuite_uses_psk,00016fbc,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,4.0,1,1,4,1.5810196858657861,0.125,8,0,0.125,0.125,0.0625,0.0,0.0,0.0,0,0,16,2,2,2,0.0625,3.577819531114783,1.6737949406953985,0.25,3,unknown,0,0,0,0.0,unknown,1,unknown
mbedtls_ssl_write_client_hello,00016fcc,mips,gcc,O2,1,1,0,0,183,336,155,65,61,0.19345238095238096,4.967213114754099,4,183,909,1.0909493433562527,0.058738315180870734,1856,153,0.1972203838517538,0.07048312375909993,0.16313699536730641,0.0013236267372600927,0.011250827266710787,0.01886168100595632,0,0,112,270,388,695,0.16313699536730641,5.92056933439911,2.5162071452046417,0.1705170517051705,276,unknown,122,214,65,0.4583333333333333,unknown,1,unknown
FUN_00017e00,00017e00,mips,gcc,O2,1,1,0,0,9,18,11,1,1,0.05555555555555555,9.333333333333334,1,14,84,1.3746245371040502,0.10512265512265512,198,9,0.21476510067114093,0.087248322147651,0.16778523489932887,0.0,0.0,0.003355704697986577,0,0,92,27,29,64,0.16778523489932887,5.33522418176965,2.1345084547950783,0.13095238095238096,32,unknown,5,13,1,1.2222222222222223,unknown,1,unknown
mbedtls_ssl_cookie_init,00017f50,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,20.0,1,1,20,1.5886210939369694,0.1111111111111111,38,0,0.25396825396825395,0.09523809523809523,0.15873015873015872,0.0,0.0,0.015873015873015872,0,0,32,7,9,16,0.15873015873015872,4.6451910262946425,2.092891147744639,0.05,16,unknown,0,0,0,0.0,unknown,1,unknown
mbedtls_ssl_cookie_free,00017fa8,mips,gcc,O2,1,1,0,0,3,4,3,0,0,0.0,9.0,2,5,27,1.1458987670005263,0.21887366818873666,56,1,0.21428571428571427,0.13095238095238096,0.13095238095238096,0.0,0.0,0.011904761904761904,0,0,32,12,14,18,0.13095238095238096,4.5243183498168476,2.199126265402213,0.1111111111111111,22,unknown,1,3,0,0.0,unknown,1,unknown
mbedtls_ssl_cookie_setup,00018014,mips,gcc,O2,1,1,0,0,7,15,10,3,3,0.2,9.285714285714286,2,13,65,1.4173760494870467,0.14728692945073127,152,8,0.17535545023696683,0.14691943127962084,0.14691943127962084,0.0,0.0,0.004739336492890996,0,0,88,32,34,37,0.14691943127962084,5.083337265662958,2.2318765556977667,0.15384615384615385,39,unknown,4,11,3,1.4666666666666666,unknown,1,unknown
mbedtls_ssl_cookie_write,00018118,mips,gcc,O2,1,1,0,0,14,19,7,4,4,0.21052631578947367,6.857142857142857,3,15,96,1.2129208028004455,0.10245487752720153,212,5,0.2053872053872054,0.10437710437710437,0.15488215488215487,0.0,0.0,0.003367003367003367,0,0,60,32,34,64,0.15488215488215487,5.2270566415275255,2.3379880788948433,0.07291666666666667,58,unknown,7,12,4,0.6842105263157895,unknown,1,unknown
