function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
FUN_00047404,00047404,mips,gcc,O2,1,1,0,0,11,19,10,4,4,0.21052631578947367,6.363636363636363,1,16,70,1.1660418433454571,0.10865113345945766,140,8,0.22466960352422907,0.06167400881057269,0.1762114537444934,0.0,0.0,0.004405286343612335,0,0,208,15,17,53,0.1762114537444934,5.337717489988355,2.2730996845849987,0.14285714285714285,43,unknown,5,14,4,0.21052631578947367,unknown,1,unknown
FUN_0004751c,0004751c,mips,gcc,O2,1,1,0,0,7,11,6,3,3,0.2727272727272727,10.428571428571429,2,10,73,1.421447987179365,0.11237047936555325,150,4,0.2168141592920354,0.09734513274336283,0.17699115044247787,0.0,0.0,0.008849557522123894,0,0,128,24,28,49,0.17699115044247787,5.309196433970333,2.2977395447649585,0.0821917808219178,44,unknown,3,8,3,0.9090909090909091,unknown,1,unknown
mbedtls_pk_write_pubkey,00047640,mips,gcc,O2,1,1,0,0,9,15,8,6,6,0.4,7.111111111111111,1,12,64,1.2661296698375968,0.16437608852469532,128,6,0.21761658031088082,0.10880829015544041,0.17098445595854922,0.0,0.0,0.0051813471502590676,0,0,56,22,24,42,0.17098445595854922,5.281391935526907,2.4118776767589174,0.125,36,unknown,3,12,6,0.5333333333333333,unknown,1,unknown
mbedtls_pk_write_pubkey_der,00047740,mips,gcc,O2,1,1,0,0,28,53,27,18,18,0.33962264150943394,6.857142857142857,4,37,192,1.11522463496661,0.1648508391831429,432,25,0.21008403361344538,0.11932773109243698,0.16302521008403362,0.0,0.0,0.0016806722689075631,0,0,96,72,74,126,0.16302521008403362,5.393629223019934,2.33275408900455,0.140625,74,unknown,16,37,18,0.9433962264150944,unknown,1,unknown
mbedtls_pk_write_key_der,00047a40,mips,gcc,O2,1,1,0,0,47,101,56,42,42,0.4158415841584158,7.297872340425532,3,58,343,1.089773773532443,0.21234790867258377,780,54,0.19423076923076923,0.15,0.15096153846153845,0.0,0.0,0.0009615384615384616,0,0,88,157,159,203,0.15096153846153845,5.4876448615863405,2.3492494964815287,0.16326530612244897,80,unknown,30,71,42,1.2178217821782178,unknown,1,unknown
mbedtls_pk_write_pubkey_pem,00047f9c,mips,gcc,O2,1,1,0,0,6,11,7,3,3,0.2727272727272727,9.5,2,10,57,1.5697244631119138,0.13055876368036076,108,5,0.21951219512195122,0.12195121951219512,0.15853658536585366,0.0,0.0,0.006097560975609756,0,0,72,21,23,37,0.15853658536585366,5.310394616925587,2.38408326089569,0.12280701754385964,39,unknown,2,9,3,1.0,unknown,1,unknown
mbedtls_pk_write_key_pem,00048080,mips,gcc,O2,1,1,0,0,15,26,13,9,9,0.34615384615384615,6.933333333333334,3,20,104,1.6486372678399759,0.06480923510361512,180,11,0.2305084745762712,0.07796610169491526,0.1694915254237288,0.0,0.0,0.003389830508474576,0,0,80,24,26,69,0.1694915254237288,5.456020044227612,2.3251620314469417,0.125,60,unknown,6,20,9,0.6153846153846154,unknown,1,unknown
mbedtls_platform_zeroize,00048220,mips,gcc,O2,1,1,0,0,3,3,2,0,0,0.0,6.666666666666667,1,4,20,1.416301073980564,0.19735819735819735,46,0,0.20634920634920634,0.15873015873015872,0.12698412698412698,0.0,0.0,0.015873015873015872,1,0,32,11,13,13,0.12698412698412698,4.527078406900583,2.4124234610495305,0.1,18,unknown,1,2,0,0.0,unknown,1,unknown
mbedtls_zeroize_and_free,00048270,mips,gcc,O2,1,1,0,0,3,5,4,1,1,0.2,6.333333333333333,0,5,19,1.6453534865784907,0.0976190476190476,30,2,0.2549019607843137,0.09803921568627451,0.1568627450980392,0.0,0.0,0.0196078431372549,0,0,32,6,8,13,0.1568627450980392,4.509256914924934,2.3521777454103487,0.21052631578947367,16,unknown,1,4,1,0.4,unknown,1,unknown
mbedtls_platform_gmtime_r,000482bc,mips,gcc,O2,1,1,0,0,1,1,2,0,0,0.0,6.0,1,2,6,2.016642278095652,0.23076923076923078,8,0,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.0,0.0,0.07692307692307693,0,0,16,3,5,3,0.07692307692307693,3.7720552088742014,1.9877733714879842,0.3333333333333333,5,unknown,0,1,0,0.0,unknown,1,unknown
